mixture_set,outcome,exposure,component,beta,direction,normalized_weight
dehp_raw_four_monomers,response_vulnerability_index,ln_URXMHP,MEHP,-0.12217519565960001,negative,1
dehp_raw_four_monomers,response_vulnerability_index,ln_URXMHH,MEHHP,0.06188691238635024,positive,0.32750276658909017
dehp_raw_four_monomers,response_vulnerability_index,ln_URXMOH,MEOHP,0.04123939719821028,positive,0.21823704163110139
dehp_raw_four_monomers,response_vulnerability_index,ln_URXECP,MECPP,0.08583976551427447,positive,0.4542601917798085
dehp_raw_oxidative_three,response_vulnerability_index,ln_URXMHH,MEHHP,0.012941522003335986,positive,0.1387498088666174
dehp_raw_oxidative_three,response_vulnerability_index,ln_URXMOH,MEOHP,-0.005383863858240493,negative,1
dehp_raw_oxidative_three,response_vulnerability_index,ln_URXECP,MECPP,0.08033083713754685,positive,0.8612501911333826
dehp_raw_four_monomers,exposure_facing_msi,ln_URXMHP,MEHP,-0.11408799440617091,negative,1
dehp_raw_four_monomers,exposure_facing_msi,ln_URXMHH,MEHHP,0.04742433169961076,positive,0.2981090310092432
dehp_raw_four_monomers,exposure_facing_msi,ln_URXMOH,MEOHP,0.038761266119297096,positive,0.24365305887083075
dehp_raw_four_monomers,exposure_facing_msi,ln_URXECP,MECPP,0.07289824992316314,positive,0.45823791011992615
dehp_raw_oxidative_three,exposure_facing_msi,ln_URXMHH,MEHHP,0.002164896997966316,positive,0.03089790308040289
dehp_raw_oxidative_three,exposure_facing_msi,ln_URXMOH,MEOHP,-0.005256384972237098,negative,1
dehp_raw_oxidative_three,exposure_facing_msi,ln_URXECP,MECPP,0.06790124931405994,positive,0.969102096919597
dehp_raw_four_monomers,msi_core_partial,ln_URXMHP,MEHP,-0.12931168430552065,negative,0.6228275998896353
dehp_raw_four_monomers,msi_core_partial,ln_URXMHH,MEHHP,0.18340968845055017,positive,0.6206574659356449
dehp_raw_four_monomers,msi_core_partial,ln_URXMOH,MEOHP,-0.07830866573746813,negative,0.3771724001103646
dehp_raw_four_monomers,msi_core_partial,ln_URXECP,MECPP,0.11209902370851323,positive,0.37934253406435514
dehp_raw_oxidative_three,msi_core_partial,ln_URXMHH,MEHHP,0.14883614280594373,positive,0.6203136553113496
dehp_raw_oxidative_three,msi_core_partial,ln_URXMOH,MEOHP,-0.1323877654815474,negative,1
dehp_raw_oxidative_three,msi_core_partial,ln_URXECP,MECPP,0.09110076899916474,positive,0.3796863446886505
dehp_raw_four_monomers,msi_no_bmi,ln_URXMHP,MEHP,-0.11250027193146266,negative,0.4895953023889757
dehp_raw_four_monomers,msi_no_bmi,ln_URXMHH,MEHHP,0.17716684263853297,positive,0.5531226848968291
dehp_raw_four_monomers,msi_no_bmi,ln_URXMOH,MEOHP,-0.11728189996136115,negative,0.5104046976110244
dehp_raw_four_monomers,msi_no_bmi,ln_URXECP,MECPP,0.1431361343973463,positive,0.44687731510317075
dehp_raw_oxidative_three,msi_no_bmi,ln_URXMHH,MEHHP,0.14577108003911432,positive,0.5388343234292213
dehp_raw_oxidative_three,msi_no_bmi,ln_URXMOH,MEOHP,-0.16258825114843278,negative,1
dehp_raw_oxidative_three,msi_no_bmi,ln_URXECP,MECPP,0.12475934777662989,positive,0.4611656765707787
dehp_raw_four_monomers,ln_HOMA_IR,ln_URXMHP,MEHP,-0.16049942688700358,negative,0.7319127456059996
dehp_raw_four_monomers,ln_HOMA_IR,ln_URXMHH,MEHHP,0.1903882826671814,positive,0.6162586158157428
dehp_raw_four_monomers,ln_HOMA_IR,ln_URXMOH,MEOHP,-0.05878822433994063,negative,0.26808725439400044
dehp_raw_four_monomers,ln_HOMA_IR,ln_URXECP,MECPP,0.11855390131375015,positive,0.3837413841842573
dehp_raw_oxidative_three,ln_HOMA_IR,ln_URXMHH,MEHHP,0.15024979811996458,positive,0.6203543459779965
dehp_raw_oxidative_three,ln_HOMA_IR,ln_URXMOH,MEOHP,-0.12830614894505799,negative,1
dehp_raw_oxidative_three,ln_HOMA_IR,ln_URXECP,MECPP,0.09195016242531676,positive,0.3796456540220034
dehp_raw_four_monomers,HbA1c,ln_URXMHP,MEHP,-0.026972482200711908,negative,0.7001658957666178
dehp_raw_four_monomers,HbA1c,ln_URXMHH,MEHHP,-0.011550505513763246,negative,0.29983410423338225
dehp_raw_four_monomers,HbA1c,ln_URXMOH,MEOHP,0.05179365984860505,positive,0.5000229064201289
dehp_raw_four_monomers,HbA1c,ln_URXECP,MECPP,0.051788914436675826,positive,0.4999770935798711
dehp_raw_oxidative_three,HbA1c,ln_URXMHH,MEHHP,-0.02217507440537933,negative,1
dehp_raw_oxidative_three,HbA1c,ln_URXMOH,MEOHP,0.041412956900260284,positive,0.45151688002933316
dehp_raw_oxidative_three,HbA1c,ln_URXECP,MECPP,0.05030666363213234,positive,0.5484831199706668
dehp_raw_four_monomers,TyG,ln_URXMHP,MEHP,-0.11252370433225659,negative,0.5237768362146005
dehp_raw_four_monomers,TyG,ln_URXMHH,MEHHP,0.16623170871262302,positive,0.7946604820983321
dehp_raw_four_monomers,TyG,ln_URXMOH,MEOHP,-0.10230768291556296,negative,0.47622316378539953
dehp_raw_four_monomers,TyG,ln_URXECP,MECPP,0.042954116501286825,positive,0.20533951790166796
dehp_raw_oxidative_three,TyG,ln_URXMHH,MEHHP,0.1471362912524375,positive,0.8745249300002522
dehp_raw_oxidative_three,TyG,ln_URXMOH,MEOHP,-0.1568476284199715,negative,1
dehp_raw_oxidative_three,TyG,ln_URXECP,MECPP,0.02111081778354512,positive,0.1254750699997478
dehp_raw_four_monomers,ln_TG_HDL,ln_URXMHP,MEHP,-0.11186064403823236,negative,0.654715392479243
dehp_raw_four_monomers,ln_TG_HDL,ln_URXMHH,MEHHP,0.13114492763448937,positive,0.8439632760610124
dehp_raw_four_monomers,ln_TG_HDL,ln_URXMOH,MEOHP,-0.058993203791194916,negative,0.34528460752075685
dehp_raw_four_monomers,ln_TG_HDL,ln_URXECP,MECPP,0.02424681908531522,positive,0.15603672393898751
dehp_raw_oxidative_three,ln_TG_HDL,ln_URXMHH,MEHHP,0.1121620323596583,positive,0.9779218712764893
dehp_raw_oxidative_three,ln_TG_HDL,ln_URXMOH,MEOHP,-0.11321176570343634,negative,1
dehp_raw_oxidative_three,ln_TG_HDL,ln_URXECP,MECPP,0.0025322347940687135,positive,0.02207812872351073
