source_table,subgroup_variable,subgroup_level,outcome,outcome_label,exposure,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value
nhanes_effect_mod,sex,female,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1682496119474034,0.0584781617724584,2.8771357862114644,0.0040130287032877,0.0536324148733848,0.282866809021422,667,60,19,0.0061621029163155
nhanes_effect_mod,sex,female,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1707633442341405,0.0593606823142634,2.8767079079397413,0.0040184737579158,0.054416406898184,0.287110281570097,663,60,19,0.0061621029163155
nhanes_effect_mod,sex,female,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1511276837929036,0.0453860266482084,3.329828472633418,0.0008689949882333,0.062171071562415,0.2400842960233922,1423,60,20,0.0021724874705834
nhanes_effect_mod,sex,female,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1986536742359116,0.0621991717632119,3.1938315029687665,0.00140398037729,0.0767432975800162,0.320564050891807,656,60,19,0.003007858427186
nhanes_effect_mod,sex,female,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1112487485445541,0.0417184868395958,2.666653490388962,0.0076610614538086,0.0294805143389463,0.1930169827501619,1392,60,20,0.0110371224334531
nhanes_effect_mod,sex,male,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1984012171436353,0.0484759548779438,4.092775844089794,4.262397213152746e-05,0.1033883455828654,0.2934140887044053,646,60,19,0.0002415358420786
nhanes_effect_mod,sex,male,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1806348154069796,0.0446086333481001,4.049324129645696,5.136576203076063e-05,0.0932018940447033,0.2680677367692559,643,60,19,0.0002728806107884
nhanes_effect_mod,sex,male,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1602801000574186,0.0311508788292658,5.145283410329902,2.671172314035271e-07,0.0992243775520575,0.2213358225627797,1318,60,19,4.540992933859961e-06
nhanes_effect_mod,sex,male,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2371689831443958,0.0641095692429542,3.699431862435435,0.0002160826418507,0.1115142274282054,0.3628237388605861,636,60,19,0.0007584256767923
nhanes_effect_mod,sex,male,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.149826226559036,0.0365707615302935,4.096885607233709,4.187456952569431e-05,0.0781475339596605,0.2215049191584114,1279,60,19,0.0002415358420786
nhanes_effect_mod,age,40-60,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2285225447086762,0.066546986936229,3.4340028787128394,0.0005947378797716,0.0980904503136673,0.3589546391036851,459,60,20,0.0015797724931433
nhanes_effect_mod,age,40-60,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2216635925537785,0.065397275175183,3.3894927878875194,0.0007002205078491,0.0934849332104197,0.3498422518971373,458,60,20,0.0018035982777932
nhanes_effect_mod,age,40-60,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1971055303756671,0.0554463794491806,3.554885500798553,0.0003781437231121,0.088430626655273,0.3057804340960612,922,60,20,0.0010714072154845
nhanes_effect_mod,age,40-60,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.252267362397915,0.0703072048147281,3.5880727026865,0.000333131407191,0.1144652409610477,0.3900694838347822,453,60,20,0.0010088735731724
nhanes_effect_mod,age,40-60,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1771852824765787,0.0471481184078928,3.758056280076636,0.0001712383714099,0.0847749703971086,0.2695955945560488,903,60,20,0.0006616027986291
nhanes_effect_mod,age,<40,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2129284768843191,0.0665891275789979,3.197646291907213,0.0013855411317802,0.0824137868294831,0.3434431669391551,404,60,20,0.003007858427186
nhanes_effect_mod,age,<40,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1680636060149409,0.0596586445707027,2.817087233950902,0.004846136122814,0.0511326626563636,0.2849945493735183,403,60,20,0.0072266942182315
nhanes_effect_mod,age,<40,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1359520883078584,0.0352411293903721,3.857767632867085,0.0001144273542392,0.0668794747027291,0.2050247019129877,910,60,20,0.0004735415363066
nhanes_effect_mod,age,<40,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2438021062872772,0.0768484661086992,3.1725045226332638,0.0015113020539191,0.0931791127142268,0.3944250998603277,400,60,20,0.0031331871849544
nhanes_effect_mod,age,<40,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0742320908505931,0.0358809693284748,2.0688429615997896,0.0385608254627938,0.0039053909667824,0.1445587907344038,881,60,20,0.0468238594905354
nhanes_effect_mod,age,>60,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1351841180502238,0.0574908937367663,2.351400530824789,0.0187028894198346,0.0225019663261618,0.2478662697742858,450,60,20,0.0240870545558476
nhanes_effect_mod,age,>60,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1525463143447112,0.0577371911970342,2.6420806274439435,0.0082398437933066,0.039381419598524,0.2657112090908984,445,60,20,0.0116731120405177
nhanes_effect_mod,age,>60,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1808336341131275,0.0463554681136985,3.901020558558207,9.578801489246966e-05,0.0899769166102783,0.2716903516159766,909,60,21,0.0004523322925477
nhanes_effect_mod,age,>60,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1778577641126038,0.076010364565892,2.339914630437302,0.0192881482305288,0.0288774495634554,0.3268380786617521,439,60,20,0.0244700387999247
nhanes_effect_mod,age,>60,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2003759108094369,0.0667365659686602,3.0024905822024825,0.0026778025876399,0.0695722415108629,0.3311795801080109,887,60,21,0.0046451677540692
nhanes_effect_mod,obesity,BMI<30,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0650195500786274,0.0272543005734742,2.3856620316981787,0.0170484103765187,0.0116011209546178,0.118437979202637,783,60,20,0.0222940751077552
nhanes_effect_mod,obesity,BMI<30,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0670415002567432,0.0279431530749269,2.3992102851449046,0.0164304759724036,0.0122729202298863,0.1218100802836001,780,60,20,0.0218217259008485
nhanes_effect_mod,obesity,BMI<30,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0418857644928941,0.0206542503846162,2.0279489070245664,0.0425654628813947,0.0014034337390464,0.0823680952467419,1645,60,21,0.0509586527453316
nhanes_effect_mod,obesity,BMI<30,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1121529082605787,0.036039599665676,3.11193546268475,0.0018586512682475,0.0415152929158537,0.1827905236053038,771,60,20,0.003510785728912
nhanes_effect_mod,obesity,BMI<30,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0712278889141822,0.0272678467179742,2.6121567152286564,0.0089973000162645,0.0177829093469526,0.1246728684814118,1603,60,21,0.0125372213341391
nhanes_effect_mod,obesity,BMI>=30,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1616513340550569,0.0525976240057825,3.073358105249868,0.002116643208462,0.058559991003723,0.2647426771063908,530,59,20,0.0039111885373755
nhanes_effect_mod,obesity,BMI>=30,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1842173891179546,0.0587674321650119,3.1346850173867398,0.0017203872746913,0.0690332220745311,0.2994015561613781,526,59,20,0.0033234754170173
nhanes_effect_mod,obesity,BMI>=30,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1365093126076728,0.046200738759142,2.954699779138505,0.0031297344658018,0.0459558646397543,0.2270627605755913,1096,60,20,0.0052063437782319
nhanes_effect_mod,obesity,BMI>=30,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1671928552630035,0.0674941247184983,2.4771468029302457,0.013243741627019,0.0349043708147467,0.2994813397112603,521,59,20,0.0178685402904225
nhanes_effect_mod,obesity,BMI>=30,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.147544479175238,0.048778403617299,3.024791059847477,0.0024880494437456,0.0519388080853318,0.2431501502651442,1068,60,20,0.004499663887625
nhanes_effect_mod,diabetes_history,diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3733404377788165,0.1134126285401094,3.2918771267767686,0.0009952108307725,0.1510516858402019,0.5956291897174311,179,53,20,0.0024169405890191
nhanes_effect_mod,diabetes_history,diabetes_history,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3634117618713848,0.1362653459176435,2.6669419097282785,0.0076544901047837,0.0963316838728034,0.6304918398699662,174,53,20,0.0110371224334531
nhanes_effect_mod,diabetes_history,diabetes_history,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.080249754076302,0.0782023017455252,1.026181484241211,0.304806047293521,-0.0730267573449273,0.2335262654975314,387,60,20,0.3364742080512894
nhanes_effect_mod,diabetes_history,diabetes_history,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.4980784274656535,0.1288049305689929,3.866920507354828,0.0001102183351258,0.2456207635504274,0.7505360913808797,172,53,20,0.0004735415363066
nhanes_effect_mod,diabetes_history,diabetes_history,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0197643927841681,0.1351639019329516,-0.1462253789770908,0.8837434713623241,-0.2846856405727535,0.245156855004417,379,60,20,0.8837434713623241
nhanes_effect_mod,diabetes_history,no_diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1402048236721556,0.0391684276270569,3.579536687229799,0.0003442039249647,0.0634347055231239,0.2169749418211872,1134,60,20,0.0010088735731724
nhanes_effect_mod,diabetes_history,no_diabetes_history,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1238359539404314,0.033726844443264,3.6717325911930656,0.0002409116855693,0.0577313388316338,0.189940569049229,1132,60,20,0.0007584256767923
nhanes_effect_mod,diabetes_history,no_diabetes_history,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.113781657213078,0.0309326207745875,3.678371064716072,0.0002347282998847,0.0531537204948864,0.1744095939312696,2354,60,21,0.0007584256767923
nhanes_effect_mod,diabetes_history,no_diabetes_history,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1816622378879273,0.0471562893289672,3.85234378007634,0.0001169926148522,0.0892359108031514,0.2740885649727032,1120,60,20,0.0004735415363066
nhanes_effect_mod,diabetes_history,no_diabetes_history,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0645113853453045,0.0213900438211433,3.015953865486583,0.0025617223343304,0.0225868994558636,0.1064358712347454,2292,60,21,0.0045363833003768
nhanes_effect_mod,race_ethnicity,1,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0662879906630165,0.0731686937399404,-0.9059611054233162,0.3649564395078403,-0.2096986303932999,0.0771226490672667,177,40,15,0.3877662169770803
nhanes_effect_mod,race_ethnicity,1,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0785551419965981,0.0829336055030084,-0.9472051952902076,0.3435342285457538,-0.2411050087824948,0.0839947247892984,177,40,15,0.3743642234152445
nhanes_effect_mod,race_ethnicity,1,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0867178271936663,0.0653047083726248,1.327895481882554,0.1842126375350656,-0.0412794012166783,0.2147150556040111,399,47,15,0.2144941669928846
nhanes_effect_mod,race_ethnicity,1,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0188031796352473,0.1098133187886211,-0.171228589051583,0.864044028634722,-0.2340372844609448,0.1964309251904502,177,40,15,0.8743302670708497
nhanes_effect_mod,race_ethnicity,1,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0216013311258218,0.1170519634364914,-0.1845447995201039,0.8535860856904456,-0.2510231794613451,0.2078205172097013,393,47,15,0.8741544251046731
nhanes_effect_mod,race_ethnicity,2,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3997249200388201,0.072062993928347,5.546881946596204,2.9080894804672218e-08,0.2584814519392599,0.5409683881383804,150,46,15,1.2359380291985692e-06
nhanes_effect_mod,race_ethnicity,2,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3825422836449152,0.0715472038587335,5.346711863125029,8.956642777687393e-08,0.2423097640817976,0.5227748032080329,149,45,15,2.5377154536780942e-06
nhanes_effect_mod,race_ethnicity,2,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3504661375766881,0.0459135718638799,7.633170832705327,2.2904904235237062e-14,0.2604755367234834,0.4404567384298927,303,56,16,1.9469168599951506e-12
nhanes_effect_mod,race_ethnicity,2,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.4627099754197338,0.0942357558073185,4.910131737743211,9.101522804566414e-07,0.2780078940373895,0.6474120568020781,146,44,15,1.2893823973135751e-05
nhanes_effect_mod,race_ethnicity,2,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1989071558350019,0.0611515937294849,3.252689647221682,0.0011431828174835,0.0790500321252115,0.3187642795447924,297,55,16,0.0026991816523917
nhanes_effect_mod,race_ethnicity,3,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1481114946225022,0.0508016159351336,2.915487861874698,0.0035513292091564,0.0485403273896403,0.247682661855364,532,58,15,0.005695527976949
nhanes_effect_mod,race_ethnicity,3,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1305862134322305,0.0442771810347674,2.9492892361347764,0.0031850573702125,0.0438029386040863,0.2173694882603747,531,58,15,0.0052063437782319
nhanes_effect_mod,race_ethnicity,3,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1351532860593402,0.0362776627625137,3.725523525153785,0.0001949102728142,0.0640490670448134,0.2062575050738671,1083,60,15,0.0007203205734441
nhanes_effect_mod,race_ethnicity,3,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.189595094672732,0.0599240219983122,3.16392472251065,0.0015565705036712,0.0721440115560401,0.307046177789424,525,57,15,0.0031502022098108
nhanes_effect_mod,race_ethnicity,3,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1037481856215247,0.036105385439598,2.873482289645921,0.0040597383919255,0.0329816301599125,0.1745147410831369,1062,60,15,0.0061621029163155
nhanes_effect_mod,race_ethnicity,4,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2714255747518591,0.0611333653676091,4.439892571261439,9.000379472226847e-06,0.1516041786313451,0.391246970872373,285,52,15,8.500358390436466e-05
nhanes_effect_mod,race_ethnicity,4,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2539279063007413,0.0553069193392831,4.59125023295923,4.405986948294681e-06,0.1455263443957462,0.3623294682057363,281,52,15,5.3501270086435416e-05
nhanes_effect_mod,race_ethnicity,4,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1480336246881148,0.0588703698769764,2.514569298570167,0.0119177878245665,0.032647699729241,0.2634195496469886,608,56,15,0.0163389026627122
nhanes_effect_mod,race_ethnicity,4,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3338582446415952,0.0747080104047226,4.468841330841952,7.864443901502271e-06,0.1874305442483388,0.4802859450348516,278,52,15,8.355971645346164e-05
nhanes_effect_mod,race_ethnicity,4,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2391379084559921,0.0737686169800745,3.241729589705944,0.0011880669381614,0.0945514191750459,0.3837243977369382,583,56,15,0.0027293429660466
nhanes_effect_mod,race_ethnicity,6,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1386175349929889,0.0713220269418204,1.9435445252567416,0.0519504010969262,-0.0011736378129791,0.278408707798957,123,43,15,0.0613303346283157
nhanes_effect_mod,race_ethnicity,6,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1712866872429911,0.0806228942997028,2.1245415304275745,0.033624887141373,0.0132658144155736,0.3293075600704087,122,43,15,0.041421962420532
nhanes_effect_mod,race_ethnicity,6,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2102005617877334,0.0668806454921301,3.142920649778533,0.0016727117821568,0.0791144966231583,0.3412866269523085,247,50,15,0.0033065232903101
nhanes_effect_mod,race_ethnicity,6,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0236920111699647,0.1035418497229162,0.2288157999240492,0.8190120859871346,-0.179250014286951,0.2266340366268806,120,42,15,0.848975942791542
nhanes_effect_mod,race_ethnicity,6,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2672615717838627,0.1163069813994066,2.29789792984195,0.0215675991491509,0.0392998882410256,0.4952232553266996,241,50,15,0.0269594989364386
nhanes_effect_mod,race_ethnicity,7,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2890245650514501,0.2257600372470974,1.2802290811775014,0.2004645810476852,-0.1534651079528609,0.7315142380557611,46,27,14,0.2271931918540432
nhanes_effect_mod,race_ethnicity,7,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3342469211039187,0.2539564646449829,1.3161583485231507,0.1881209002800909,-0.1635077496002479,0.8320015918080852,46,27,14,0.2160848178892936
nhanes_effect_mod,race_ethnicity,7,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1293524776346692,0.1420595606431768,0.9105510185236664,0.362531988650586,-0.1490842612259573,0.4077892164952957,101,46,15,0.3877662169770803
nhanes_effect_mod,race_ethnicity,7,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3200261723243809,0.2771503199689712,1.1547025179700674,0.2482122680562385,-0.2231884548148026,0.8632407994635645,46,27,14,0.2776058261155299
nhanes_effect_mod,race_ethnicity,7,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0592442362736456,0.2010038398946776,-0.2947418134135572,0.7681911188164251,-0.4532117624672138,0.3347232899199225,95,45,15,0.8061264827085942
nhanes_effect_mod,diet_source_proxy,high_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2249796265791073,0.0610708473207412,3.683911988276908,0.0002296815739295,0.1052807658304545,0.3446784873277602,305,60,20,0.0007584256767923
nhanes_effect_mod,diet_source_proxy,high_carb_energy,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2095685608367453,0.059317587784457,3.5329919618150503,0.0004108849642422,0.0933060887792095,0.3258310328942811,304,60,20,0.0011266200632447
nhanes_effect_mod,diet_source_proxy,high_carb_energy,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2759359020513754,0.0672916787095244,4.100594714578278,4.12089727478355e-05,0.1440442117807076,0.4078275923220433,660,60,21,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,high_carb_energy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.17766127683121,0.0599214748339037,2.964901603701664,0.0030277975554505,0.0602151861567587,0.2951073675056613,300,60,20,0.0051472558442658
nhanes_effect_mod,diet_source_proxy,high_carb_energy,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2927883160290125,0.0567388921383295,5.16027551816123,2.465866757621643e-07,0.1815800874378866,0.4039965446201384,642,60,21,4.540992933859961e-06
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1651422322091589,0.0411695072140845,4.011275416788612,6.0391608632427685e-05,0.0844499980695531,0.2458344663487647,1008,60,20,0.0003019580431621
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1536248924285722,0.0372300555852825,4.126367527887919,3.685381328803616e-05,0.0806539834814184,0.226595801375726,1002,60,20,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1264170736221396,0.0305737239807564,4.134827464973141,3.552214072029002e-05,0.066492574619857,0.1863415726244222,2081,60,20,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2157613537181708,0.052550816374363,4.105765972903706,4.029773081298156e-05,0.1127617536244192,0.3187609538119225,992,60,20,0.0002415358420786
nhanes_effect_mod,diet_source_proxy,lower_carb_energy,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1017222749641035,0.0318730804972338,3.19147924760306,0.001415462789264,0.0392510371895252,0.1641935127386818,2029,60,20,0.003007858427186
